"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Marietta","Marietta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",56,8.8387573964497,96.55,,,265200,0.568828213879408,6.12244897959184,0.0402073906485672,,0.0789484628378756,0.0186676687622299,70.5
"City","Anchorage","Anchorage","AK","Anchorage, AK","""Anchorage, AK""",57,5.54826183431953,82.74,,,296300,0.101351351351351,1.89133425034388,0.0484441444481944,,0.160209421750699,0.0113147847571781,89
"City","Bakersfield","Bakersfield","CA","Bakersfield, CA","""Bakersfield, CA""",58,3.16198224852071,82.23,5.8913,2.4375,219600,0.136798905608755,3.1470173790512,0.0328642987249546,,0.158220539220204,0.0393137032652842,70
"City","Saint Paul","Saint Paul","MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",59,3.61778846153846,90.34,6.9963,0.7157,197100,-0.253036437246964,6.08180839612487,0.0272907153729072,,0.075536705357706,0.0299015166553034,65
"City","Toledo","Toledo","OH","Toledo, OH","""Toledo, OH""",60,0.613905325443787,,,,62800,0.159489633173844,5.01672240802676,0.0189012738853502,,0.22802027647482,0.0550753159966505,74
"City","Silver Spring","Silver Spring","MD","Washington, VA","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",61,3.50314349112426,89.29,4.5746,0.7787,390800,0.102459016393443,1.29600829445308,0.0090660184237461,,0.114262618428336,0.0426925199016117,88
"City","Lexington","Lexington","KY","Lexington, KY","""Lexington-Fayette, KY""",62,5.89959319526627,92.67,0.1553,,169200,0.118343195266272,5.61797752808989,0.0301891252955082,,0.0757417134897804,0.0188625300857185,60
"City","Newark","Newark","NJ","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",63,0.181213017751479,,,,237200,1.28095644748079,1.97764402407567,0.0155185497470489,,0.292231685788394,0.204397571354834,121
"City","Tallahassee","Tallahassee","FL","Tallahassee, FL","""Tallahassee, FL""",64,1.41179733727811,78.29,,,167300,0.179640718562874,1.7639902676399,0.0297250448296473,,0.125900022581081,0.0604292601490515,80
"City","Stockton","Stockton","CA","Stockton, CA","""Stockton-Lodi, CA""",65,6.02810650887574,88.27,6.6524,1.6228,268500,0.336322869955157,11.0881257757551,0.044536312849162,,0.115528829881297,0.0321882081381956,59
"City","Plano","Plano","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",66,9.72540680473373,96.46,0.5214,0.1346,336600,0.35778175313059,6.85714285714286,0.0440998217468807,,,,60.5
"City","Buffalo","Buffalo","NY","Buffalo, NY","""Buffalo-Cheektowaga-Niagara Falls, NY""",67,9.4637573964497,,,,82600,2.10135970333745,22.3703703703704,0.060677966101695,,0.0630982866283962,0.10033300442327,86
"City","Chandler","Chandler","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",68,6.41919378698225,83.65,3.1891,0.3506,286800,0.244669695910521,5.71323258385551,0.0252719665271965,,0.0970793313116524,0.0118049311025657,55
"City","Louisville","Louisville","KY","Louisville/Jefferson County, KY","""Louisville/Jefferson County, KY-IN""",69,5.22559171597633,88.8,,0.1489,119300,0.0838926174496644,2.57953568357696,0.0322129086336966,,0.0926969490852413,0.0209238084784475,64
"City","Henderson","Henderson","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",70,6.39145710059172,79.72,5.9293,1.5258,293700,1.03199174406605,10.6214689265537,0.0611780728634661,,0.131498184637866,0.0501539428903945,58.5
"City","Modesto","Modesto","CA","Modesto, CA","""Modesto, CA""",71,8.20081360946746,92.26,6.0809,1.1087,272700,0.553097345132743,10.7186358099878,0.0408984231756508,,0.0941413894418051,0.024177997909827,57.5
"City","Mobile","Mobile","AL","Mobile, AL","""Mobile, AL""",72,3.39219674556213,,,,111900,0.358744394618834,2.75482093663912,0.0294548704200179,,0.164098688729141,0.0370292726682011,98
"City","Jersey City","Jersey City","NJ","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",73,5.83579881656805,,,,418600,1.13553998550374,23.7363287023352,0.0798829431438126,,0.19523178918451,0.0835611794415333,91
"City","Glendale","Glendale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",75,8.05935650887574,87.55,4.9757,0.7853,222400,0.633484162895928,8.75305623471883,0.0361690647482014,,0.101096781098942,0.0207089081777413,57
"City","Durham","Durham","NC","Durham, NC","""Durham-Chapel Hill, NC""",76,5.22744082840237,96.27,,,195000,0.308641975308642,6.4991807755325,0.0347076923076923,,0.0786108811208942,0.0190005262925948,53
"City","Orlando","Orlando","FL","Orlando, FL","""Orlando-Kissimmee-Sanford, FL""",77,7.49445266272189,82.48,,,174100,0.577700751010976,9.08521303258145,0.0423377369327973,,0.113405337754631,0.0517434833553332,83
"City","Norfolk","Norfolk","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",78,0.508505917159763,77.65,7.6304,11.8873,182200,0,3.93610952652596,0.0195170142700329,,0.218210970669931,0.0436103316579032,94
